会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ツカモトコーポレーション,8025,卸売業,スタンダード（内国株式）,2025-03-31,東京都,5516179968.0,0.39624405,9681223000.0,-332257000.0,-0.097550005,-380071000.0,-0.03466,-0.024360001,0.4863476039882448,,14843849000.0,9250630000.0,6126087000.0,7996301000.0,2073674000.0,8066425000.0,-3071264500.0,-0.5567738032146815
ルックホールディングス,8029,繊維製品,スタンダード（内国株式）,2024-12-31,東京都,19533582336.0,0.5222324,54739000000.0,2531000000.0,0.027460001,1925000000.0,0.03408,0.0463,0.6151278293437551,,23635000000.0,8521000000.0,29826000000.0,11247000000.0,8144000000.0,6186000000.0,10521200000.0,0.538621120234031
中央魚類,8030,卸売業,スタンダード（内国株式）,2025-03-31,東京都,14259486720.0,0.44190797,149902000000.0,3229000000.0,0.02499,2901000000.0,0.01787,0.0875,0.428517924023542,,40950000000.0,21449000000.0,29590000000.0,19236000000.0,5529000000.0,12514000000.0,-2600200000.0,-0.182348779521848
三井物産,8031,卸売業,プライム（内国株式）,2025-03-31,東京都,10577240915968.0,1.3926407,14662620000000.0,400654000000.0,0.031719998,900342000000.0,0.05777,0.10487001,0.448895753498392,12.5233965,9048877000000.0,3654185000000.0,5686941000000.0,4841260000000.0,977356000000.0,222638000000.0,-3206089400000.0,-0.3031120710467988
日本紙パルプ商事,8032,卸売業,プライム（内国株式）,2025-03-31,東京都,87834624000.0,0.6623981,554524000000.0,15072000000.0,0.01678,7569000000.0,0.010319999,0.04756,0.3418112657240321,1.0619601,246669000000.0,192050000000.0,233953000000.0,112639000000.0,19577000000.0,37017000000.0,13195900000.0,0.1502357430254383
東京エレクトロン,8035,電気機器,プライム（内国株式）,2025-03-31,東京都,13028661657600.0,6.9576774,2431568000000.0,697320000000.0,0.26328,544133000000.0,0.22083001,0.29389998,0.7064811207697238,22.21528,770775000000.0,677925000000.0,1800756000000.0,,416240000000.0,200013000000.0,1169990100000.0,0.089801249794334
カメイ,8037,卸売業,プライム（内国株式）,2025-03-31,宮城県,86137954304.0,0.54511976,575787000000.0,15912000000.0,0.02802,10690000000.0,0.01942,0.07344,0.4930279691933522,9.459005,154247000000.0,122319000000.0,187829000000.0,57421000000.0,62262000000.0,21859000000.0,48883300000.0,0.5675001269182683
築地魚市場,8039,卸売業,スタンダード（内国株式）,2025-03-31,東京都,7620891136.0,1.1427199,62414000000.0,303000000.0,0.00871,287000000.0,0.00561,0.053839996,0.3936875075292133,,10066000000.0,5931000000.0,7175000000.0,4960000000.0,856000000.0,2291000000.0,-1287300000.0,-0.1689172535110728
東京ソワール,8040,繊維製品,スタンダード（内国株式）,2024-12-31,東京都,3822170624.0,0.36939892,15700503000.0,243029000.0,-0.053740002,500571000.0,0.03145,,0.7328119140474907,,3821048000.0,2928381000.0,8524874000.0,791234000.0,1862030000.0,1563397000.0,5798203900.0,1.5169924292736128
ＯＵＧホールディングス,8041,卸売業,スタンダード（内国株式）,2025-03-31,,20137375744.0,0.56084883,350092000000.0,5101000000.0,0.014780001,4527000000.0,0.01422,0.14918,0.3938517779993353,,54717000000.0,46320000000.0,68521000000.0,24520000000.0,2793000000.0,7108000000.0,18779600000.0,0.9325743452741326
