会社名,銘柄コード,業種,優先市場,決算月,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
一蔵,6186,サービス業,スタンダード（内国株式）,2025-03-31,埼玉県,2117244288,0.5595253,19932772000.0,123353000.0,-0.15353,-96945000.0,-0.01403,-0.06954,0.21882792487553268,2.4983735,15624093000.0,12840905000.0,10289794000.0,5973691000.0,4766169000.0,100000000.0,-5264299000.0,-2.4863918773269114
グローバルキッズＣＯＭＰＡＮＹ,6189,サービス業,スタンダード（内国株式）,2024-09-30,,6899820032,0.8646841,26448000000.0,790000000.0,0.05266,256000000.0,0.01726,0.05787,0.5247396675506112,,7348000000.0,3418000000.0,4569000000.0,2918000000.0,1241000000.0,27000000.0,-2760100000.0,-0.40002492633129594
フェニックスバイオ,6190,サービス業,グロース（内国株式）,2025-03-31,広島県,1986255616,1.440701,1541388000.0,-142075000.0,0.06,-448933000.0,-0.30295,-0.28162,0.5974624366943766,,919936000.0,566623000.0,1717435000.0,565364000.0,1149390000.0,9397000.0,804076900.0,0.4048204538846223
エアトリ,6191,サービス業,プライム（内国株式）,2024-09-30,東京都,19756320768,1.3142661,26571000000.0,2887000000.0,0.17774999,2013000000.0,0.04498,0.08113,0.4766170190605145,9.881246,14072000000.0,11363000000.0,20887000000.0,4323000000.0,9647000000.0,2307000000.0,8429900000.0,0.42669382113162496
バーチャレクス・ホールディングス,6193,サービス業,グロース（内国株式）,2025-03-31,東京都,2914810880,1.695642,6488911000.0,279247000.0,-0.00987,111005000.0,0.02967,0.11712,0.4683050477723239,,2013264000.0,1600083000.0,2679051000.0,1037360000.0,1365456000.0,449038000.0,980113600.0,0.3362528961055614
アトラエ,6194,サービス業,プライム（内国株式）,2024-09-30,東京都,17136237568,3.3388755,8598696000.0,1528664000.0,0.22650999,733542000.0,0.08525,0.13502,0.7354962518890167,13.375681,1909374000.0,1909372000.0,5304137000.0,500000000.0,4362212000.0,1072294000.0,4145368800.0,0.24190659026232286
ホープ,6195,サービス業,グロース（内国株式）,2025-03-31,福岡県,2908462336,2.760019,3140691000.0,291628000.0,0.00559,358008000.0,0.104940005,0.32516,0.5385590190874882,17.345133,995272000.0,965159000.0,1804876000.0,139720000.0,977609000.0,5792000.0,813658400.0,0.279755522335222
ストライク,6196,サービス業,プライム（内国株式）,2024-09-30,東京都,79211520000,4.0438757,18138469000.0,6772461000.0,0.30438,4955003000.0,0.23302999,0.24712999,0.8140057151973655,11.589357,4220281000.0,3923949000.0,19227939000.0,,18358964000.0,808702000.0,15573749400.0,0.19660965223240257
ソラスト,6197,サービス業,プライム（内国株式）,2025-03-31,東京都,44405256192,1.9414034,137435000000.0,7017000000.0,0.047069997,3960000000.0,0.03078,0.19648,0.323580181748149,11.2616825,47415000000.0,22362000000.0,31166000000.0,23076000000.0,14004000000.0,409000000.0,-15962700000.0,-0.35947771432688685
キャリア,6198,サービス業,グロース（内国株式）,2024-09-30,東京都,2411194112,1.2627442,16709494000.0,428855000.0,0.0077,249851000.0,0.00116,0.009380001,0.45484445547562236,3.3983488,2402887000.0,2252803000.0,3855161000.0,800000000.0,2152744000.0,,1452274000.0,0.602304888176502
